t,sym,px,qty,b1sz,b1px,a1px,a1sz
2020-04-06D09:05:48.527405000,2330,0,0,210,2725000,2730000,228
2020-04-06D09:05:48.744403000,2330,0,0,210,2725000,2730000,228
2020-04-06D09:05:49.253549000,2330,0,0,210,2725000,2730000,228
2020-04-06D09:05:49.494100000,2330,0,0,209,2725000,2730000,228
2020-04-06D09:05:49.494435000,2330,0,0,209,2725000,2730000,228
2020-04-06D09:05:49.531001000,2330,0,0,209,2725000,2730000,228
2020-04-06D09:05:49.951551000,2330,0,0,209,2725000,2730000,228
2020-04-06D09:05:50.052966000,2330,0,0,209,2725000,2730000,228
2020-04-06D09:05:50.063204000,2330,0,0,209,2725000,2730000,228
2020-04-06D09:05:50.075939000,2330,0,0,209,2725000,2730000,228
2020-04-06D09:05:50.306598000,2330,0,0,209,2725000,2730000,228
2020-04-06D09:05:51.197361000,2330,0,0,209,2725000,2730000,229
2020-04-06D09:05:51.224417000,2330,2730000,22,209,2725000,2730000,207
2020-04-06D09:05:51.282618000,2330,0,0,210,2725000,2730000,207
2020-04-06D09:05:51.578604000,2330,2725000,3,207,2725000,2730000,207
2020-04-06D09:05:51.917850000,2330,0,0,208,2725000,2730000,207
2020-04-06D09:05:52.231726000,2330,2730000,5,208,2725000,2730000,202
2020-04-06D09:05:52.281752000,2330,2725000,1,207,2725000,2730000,202
2020-04-06D09:05:52.322029000,2330,0,0,208,2725000,2730000,202
2020-04-06D09:05:52.529216000,2330,0,0,208,2725000,2730000,202
2020-04-06D09:05:52.533408000,2330,0,0,208,2725000,2730000,203
